@relation 

@attribute Age Integer
@attribute Gender {A, B}
@attribute Height Real
@attribute Weight Real
@attribute Eye Color {A, B, C, D}
@attribute Smoke {A, B}
@attribute Exercise Frequency Integer
@attribute Alcohol Consumption Integer
@attribute Coffe Consumption Integer
@attribute Stroke Probability Real

@data
71, A, 1.6, 1.6E2, A, B, 6, 1, 1, 40
52, B, 1.9, 1.9E2, C, B, 0, 1, 0, 39
90, A, 1.6, 1.7E2, D, A, 1, 1, 0, 54
79, A, 1.8, 1.9E2, D, A, 3, 0, 0, 26
42, B, 1.5, 1.1E2, B, A, 4, 1, 1, 25
63, B, 1.6, 1.2E2, B, B, 3, 1, 1, 64
76, B, 1.6, 1.4E2, D, B, 5, 1, 1, 52
40, A, 1.7, 1.3E2, A, A, 4, 1, 1, 40
47, B, 1.4, 1.5E2, D, B, 3, 0, 1, 67
7, A, 1.5, 1.1E2, C, B, 0, 1, 0, 46
35, A, 1.6, 1.6E2, A, A, 0, 0, 0, 34
12, B, 1.7, 1.1E2, B, B, 0, 0, 1, 46
16, A, 1.3, 1.2E2, D, B, 6, 0, 0, 52
69, A, 1.5, 1.1E2, A, B, 2, 0, 0, 55
71, B, 1.7, 1.2E2, D, B, 5, 0, 1, 42
48, B, 1.7, 1.5E2, C, B, 5, 0, 0, 35
61, A, 1.7, 1.9E2, D, A, 2, 0, 0, 48
12, A, 1.3, 1.4E2, A, A, 3, 0, 1, 33
87, B, 1.6, 1.7E2, B, A, 3, 1, 0, 61
61, A, 1.5, 1.5E2, B, B, 4, 1, 1, 41
25, A, 1.7, 1.2E2, D, A, 2, 1, 1, 28
98, A, 1.7, 1.2E2, B, B, 2, 0, 0, 63
73, A, 1.8, 1.6E2, B, B, 3, 0, 0, 65
82, B, 1.8, 1.8E2, C, A, 6, 0, 0, 46
94, B, 1.9, 1.1E2, C, B, 0, 1, 0, 26
59, A, 1.8, 1.5E2, D, B, 4, 0, 0, 56
34, B, 1.8, 1.5E2, B, A, 6, 1, 1, 23
54, B, 1.7, 1.3E2, B, B, 1, 1, 0, 55
86, A, 1.8, 1.7E2, B, A, 0, 0, 1, 22
46, B, 1.8, 1.6E2, D, B, 6, 0, 1, 62
37, B, 1.6, 1.3E2, B, A, 0, 0, 1, 25
